field_id,anomaly_z_count,anomaly_z_total,isoforest_score,l2_from_median,rank_z,rank_iso,rank_l2,mean_rank,is_anomaly_top_k
F004,164,821.7782066428063,0.06618201919201305,2.876161757736546,1,1,1,1.0,True
F005,197,772.7550390796998,0.05578032844074199,2.5105396368193316,2,2,3,2.33,True
F017,207,739.0780803813172,-0.02242800265129319,2.586640361841629,3,5,2,3.33,True
F020,138,633.3950502680084,0.017325982427832787,2.3782300112526897,4,3,4,3.67,False
F012,26,510.85664857289817,-0.026756026204412198,1.8691047143083692,7,6,7,6.67,False
F006,79,537.1988544906006,-0.045684428220787554,1.8995523958386211,6,9,6,7.0,False
F014,78,453.1919216840055,-0.0030575263107940343,1.8111368118017974,9,4,8,7.0,False
F016,76,593.9833940455351,-0.11133531339608016,1.984089539846544,5,16,5,8.67,False
F002,75,481.0304968806488,-0.07609355438861193,1.7165264530780975,8,10,10,9.33,False
F007,4,386.1279446784223,-0.044325069790149274,1.5270179197040308,11,8,11,10.0,False
F010,63,421.2425663606718,-0.08032474253504618,1.7203058572851406,10,13,9,10.67,False
F015,25,324.71430765887465,-0.03317540110239969,1.4055549156810447,14,7,12,11.0,False
F013,19,286.6350126662641,-0.08382722508342011,1.2400694529283782,15,14,13,14.0,False
F019,4,263.4898768102418,-0.07739598739007336,0.9258854682813572,16,11,16,14.33,False
F008,32,347.99779985018085,-0.1198756838244393,1.0136907894753693,12,17,14,14.33,False
F003,0,212.09077203102783,-0.07936839792927614,0.9717371956567918,19,12,15,15.33,False
F011,48,324.8969751219811,-0.1266592883356285,0.9205194747366425,13,19,17,16.33,False
F018,2,252.39949202431978,-0.12482556658286009,0.7826444690122765,17,18,18,17.67,False
F001,0,158.44840813901902,-0.08486175527834988,0.5074895624897072,20,15,20,18.33,False
F009,1,249.73392349055206,-0.14068076551309677,0.6146245626630982,18,20,19,19.0,False
