field_id,pixel_count,valid_pixels,valid_share,ndvi_mean,ndvi_median,ndvi_p25,ndvi_p75,date,tile_id,cloud_cover
F001,87514,74237,0.848,0.2399,0.2046,0.133,0.3247,2023-10-05,S2B_37TDK_20231005_0_L2A,19.77
F001,87514,74237,0.848,0.3031,0.2524,0.183,0.3938,2023-10-07,S2A_37TDK_20231007_0_L2A,0.06
F001,87514,74237,0.848,0.2734,0.2271,0.1686,0.3611,2023-10-12,S2B_37TDK_20231012_0_L2A,10.64
F001,87514,74237,0.848,0.2916,0.2296,0.1892,0.3688,2023-10-15,S2B_37TDK_20231015_0_L2A,0.0
F001,87514,74237,0.848,0.2274,0.1822,0.1497,0.2898,2023-10-22,S2B_37TDK_20231022_0_L2A,0.01
F001,87514,74237,0.848,0.2623,0.215,0.1816,0.3301,2023-10-30,S2A_37TDK_20231030_0_L2A,1.56
F001,87514,396,0.005,-0.0605,-0.0554,-0.1242,0.0121,2024-01-10,S2B_37TDK_20240110_0_L2A,12.41
F001,87514,74237,0.848,0.2746,0.2595,0.2096,0.3333,2024-01-30,S2B_37TDK_20240130_0_L2A,5.39
F001,87514,74237,0.848,0.2709,0.246,0.2036,0.3152,2024-02-24,S2A_37TDK_20240224_0_L2A,10.21
F001,87514,74169,0.848,0.2641,0.238,0.1981,0.3048,2024-02-27,S2A_37TDK_20240227_0_L2A,4.32
F001,87514,74237,0.848,0.2669,0.2408,0.1997,0.3094,2024-02-29,S2B_37TDK_20240229_0_L2A,6.59
F001,87514,74237,0.848,0.2729,0.2359,0.1989,0.3172,2024-03-10,S2B_37TDK_20240310_0_L2A,7.42
F001,87514,74237,0.848,0.298,0.2469,0.2022,0.3441,2024-03-25,S2A_37TDK_20240325_0_L2A,2.96
F001,87514,74237,0.848,0.3411,0.2487,0.2073,0.428,2024-04-07,S2A_37TDK_20240407_0_L2A,0.08
F001,87514,74237,0.848,0.3219,0.2343,0.1847,0.4121,2024-04-09,S2B_37TDK_20240409_0_L2A,0.76
F001,87514,74237,0.848,0.4098,0.4061,0.1805,0.5537,2024-04-22,S2B_37TDK_20240422_0_L2A,0.76
F001,87514,74237,0.848,0.4446,0.5095,0.1578,0.7032,2024-05-04,S2A_37TDK_20240504_0_L2A,15.83
F001,87514,74237,0.848,0.4535,0.5177,0.1644,0.7184,2024-05-07,S2A_37TDK_20240507_0_L2A,0.05
F001,87514,74237,0.848,0.4448,0.5239,0.1336,0.7591,2024-05-22,S2B_37TDK_20240522_0_L2A,0.0
F001,87514,74237,0.848,0.4492,0.5231,0.1481,0.7503,2024-05-22,S2B_37TDK_20240522_1_L2A,0.28
F001,87514,74237,0.848,0.424,0.5127,0.1281,0.7317,2024-05-24,S2A_37TDK_20240524_0_L2A,0.01
F001,87514,74237,0.848,0.4456,0.5076,0.1944,0.6977,2024-06-01,S2B_37TDK_20240601_0_L2A,1.18
F001,87514,74237,0.848,0.4388,0.4963,0.1854,0.6894,2024-06-03,S2A_37TDK_20240603_0_L2A,0.09
F001,87514,74237,0.848,0.4986,0.5334,0.2998,0.6711,2024-06-11,S2B_37TDK_20240611_0_L2A,1.67
F001,87514,74225,0.848,0.4747,0.4954,0.2764,0.6525,2024-06-13,S2A_37TDK_20240613_0_L2A,17.3
F001,87514,74237,0.848,0.511,0.5224,0.3892,0.6414,2024-06-18,S2B_37TDK_20240618_0_L2A,4.92
F001,87514,74237,0.848,0.5168,0.5204,0.4188,0.6277,2024-06-21,S2B_37TDK_20240621_0_L2A,0.28
F001,87514,74237,0.848,0.4877,0.4901,0.3954,0.5857,2024-06-23,S2A_37TDK_20240623_0_L2A,3.36
F001,87514,53199,0.608,0.5116,0.5034,0.4075,0.6222,2024-06-26,S2A_37TDK_20240626_0_L2A,9.1
F001,87514,8115,0.093,0.5061,0.4869,0.3748,0.6565,2024-06-28,S2B_37TDK_20240628_0_L2A,19.86
F001,87514,74237,0.848,0.5023,0.4957,0.371,0.642,2024-07-01,S2B_37TDK_20240701_0_L2A,0.01
F001,87514,74233,0.848,0.4786,0.4717,0.3478,0.5909,2024-07-03,S2A_37TDK_20240703_0_L2A,15.23
F001,87514,74237,0.848,0.4924,0.502,0.2967,0.711,2024-07-18,S2B_37TDK_20240718_0_L2A,0.02
F001,87514,74237,0.848,0.5106,0.5265,0.2988,0.7422,2024-07-21,S2B_37TDK_20240721_0_L2A,0.22
F001,87514,74237,0.848,0.5221,0.5536,0.2454,0.7774,2024-07-28,S2B_37TDK_20240728_0_L2A,0.1
F001,87514,74237,0.848,0.5277,0.564,0.2368,0.7963,2024-08-02,S2A_37TDK_20240802_0_L2A,15.43
F001,87514,74237,0.848,0.5398,0.5847,0.2293,0.809,2024-08-10,S2B_37TDK_20240810_0_L2A,0.3
F001,87514,53226,0.608,0.4672,0.4852,0.1786,0.6941,2024-08-12,S2A_37TDK_20240812_0_L2A,11.96
F001,87514,74237,0.848,0.5526,0.6034,0.254,0.8139,2024-08-15,S2A_37TDK_20240815_0_L2A,1.41
F001,87514,74237,0.848,0.5329,0.5794,0.252,0.768,2024-08-17,S2B_37TDK_20240817_0_L2A,0.23
F001,87514,74237,0.848,0.5104,0.5571,0.2416,0.7281,2024-08-20,S2B_37TDK_20240820_0_L2A,1.16
F001,87514,70720,0.808,0.4774,0.5243,0.2663,0.639,2024-09-04,S2A_37TDK_20240904_0_L2A,13.54
F001,87514,74237,0.848,0.4529,0.4847,0.2206,0.6517,2024-09-11,S2A_37TDK_20240911_0_L2A,0.0
F001,87514,74237,0.848,0.4295,0.4586,0.2081,0.6173,2024-09-14,S2A_37TDK_20240914_0_L2A,1.5
F001,87514,74237,0.848,0.2903,0.2471,0.1492,0.418,2024-09-29,S2B_37TDK_20240929_0_L2A,0.01
F002,121410,70235,0.578,0.2349,0.2096,0.1579,0.3018,2023-10-05,S2B_37TDK_20231005_0_L2A,19.77
F002,121410,70235,0.578,0.2914,0.26,0.2029,0.3687,2023-10-07,S2A_37TDK_20231007_0_L2A,0.06
F002,121410,70235,0.578,0.2633,0.2341,0.1906,0.3138,2023-10-12,S2B_37TDK_20231012_0_L2A,10.64
F002,121410,70235,0.578,0.253,0.2265,0.1866,0.2901,2023-10-15,S2B_37TDK_20231015_0_L2A,0.0
F002,121410,70235,0.578,0.1573,0.1463,0.1145,0.1875,2023-10-22,S2B_37TDK_20231022_0_L2A,0.01
F002,121410,70235,0.578,0.2332,0.2129,0.1795,0.2581,2023-10-30,S2A_37TDK_20231030_0_L2A,1.56
F002,121410,0,0.0,,,,,2024-01-10,S2B_37TDK_20240110_0_L2A,12.41
F002,121410,70235,0.578,0.2942,0.2339,0.1538,0.3904,2024-01-30,S2B_37TDK_20240130_0_L2A,5.39
F002,121410,70235,0.578,0.3058,0.2396,0.1947,0.3755,2024-02-24,S2A_37TDK_20240224_0_L2A,10.21
F002,121410,70235,0.578,0.2994,0.2367,0.1915,0.366,2024-02-27,S2A_37TDK_20240227_0_L2A,4.32
F002,121410,70235,0.578,0.2984,0.2363,0.1904,0.3622,2024-02-29,S2B_37TDK_20240229_0_L2A,6.59
F002,121410,70235,0.578,0.3101,0.241,0.1914,0.3877,2024-03-10,S2B_37TDK_20240310_0_L2A,7.42
