date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,relative_humidity_2m_mean,wind_speed_10m_max,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,soil_temperature_0_to_7cm_mean,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,T2M,PRECTOTCORR,RH2M
2023-10-01,28.0,16.6,21.6,0.0,0.0,0.0,48,11.9,3.61,0.126,23.9,15.17,29.84,15.29,22.06,0.08,44.71
2023-10-02,26.8,15.7,20.5,0.0,0.0,0.0,50,20.3,4.15,0.125,22.8,13.22,27.66,13.83,20.04,0.08,53.28
2023-10-03,23.1,15.4,18.4,0.2,0.2,0.0,63,19.4,3.24,0.127,21.2,13.31,22.03,14.09,17.88,0.27,65.96
2023-10-04,22.5,12.3,17.3,0.0,0.0,0.0,51,12.6,3.24,0.131,20.5,13.91,24.18,11.47,17.16,0.01,58.18
2023-10-05,24.2,9.2,16.7,0.0,0.0,0.0,62,17.3,3.25,0.13,18.7,13.63,23.61,11.17,16.82,0.34,61.61
2023-10-06,21.1,13.1,16.1,12.6,12.6,0.0,80,20.8,1.82,0.195,17.5,10.72,21.95,12.88,16.61,3.46,74.03
2023-10-07,21.5,10.8,15.7,0.0,0.0,0.0,62,21.0,3.2,0.232,17.1,15.49,22.57,8.55,15.36,0.77,59.61
2023-10-08,22.3,12.9,18.7,6.8,6.8,0.0,64,38.1,4.06,0.213,19.0,11.49,22.8,9.4,18.07,7.46,70.28
2023-10-09,14.0,8.2,11.1,6.7,6.7,0.0,65,25.2,2.46,0.32,14.1,11.6,14.37,6.44,9.66,5.11,62.95
2023-10-10,15.6,7.8,11.5,1.1,1.1,0.0,55,14.5,2.16,0.276,13.7,9.9,16.08,7.02,10.79,1.35,58.31
2023-10-11,12.8,5.3,9.3,0.0,0.0,0.0,62,15.3,2.39,0.262,12.3,14.67,13.99,2.47,7.83,0.27,59.46
2023-10-12,16.5,2.9,8.8,0.0,0.0,0.0,62,10.5,2.3,0.247,11.3,15.56,19.93,0.97,9.03,0.0,58.35
2023-10-13,19.5,3.8,11.4,0.0,0.0,0.0,75,9.0,2.15,0.234,12.3,14.18,20.53,5.42,11.93,0.0,69.1
2023-10-14,20.8,7.5,13.5,0.0,0.0,0.0,64,10.1,2.5,0.219,13.9,14.19,23.5,7.35,14.29,0.0,53.66
